English Term,Japanese Translations Used,Notes
monetary policy,金融政策,
interest rate,"利子率, 金利",複数の訳語が存在（一貫性の確認を推奨）
new keynesian,ニューケインジアン,
central bank,中央銀行,
government spending,政府支出,
aggregate euler,集計オイラー,
income inequality,所得不平等,
aggregate income,集計所得,
real interest,実質利子,
income risk,所得リスク,
forward guidance,フォワード・ガイダンス,
keynesian cross,ケインジアン・クロス,
aggregate demand,"総需要, 集計需要",複数の訳語が存在（一貫性の確認を推奨）
steady state,定常状態,
aggregate consumption,"総消費, 集計消費",複数の訳語が存在（一貫性の確認を推奨）
precautionary saving,予備的貯蓄,
consumption demand,消費需要,
general equilibrium,一般均衡,
intertemporal substitution,異時点間代替,
optimal monetary,最適金融,
fiscal multipliers,財政乗数,
labour supply,労働供給,
fiscal policy,財政政策,
fiscal multiplier,財政乗数,
rate cut,利下げ,
limited asset,限定的資産,
profit income,利潤所得,
taylor rule,テイラー・ルール,
asset markets,資産市場,
fall profit,"利潤低下, 利潤の低下",複数の訳語が存在（一貫性の確認を推奨）
precautionary savings,予備的貯蓄,
saving motive,貯蓄動機,
becoming hand-to-mouth,手元消費家計になる,
cyclical risk,循環的リスク,
cyclical inequality,循環的不平等,
output gap,産出ギャップ,
indirect effect,間接効果,
optimal policy,最適政策,
equilibrium mechanism,均衡メカニズム,
supply shocks,供給ショック,
budget constraint,予算制約,
future consumption,将来消費,
demand logic,需要論理,
income rises,"所得の上昇, 所得が上昇",複数の訳語が存在（一貫性の確認を推奨）
hand-to-mouth households,手元消費家計,
consumption,消費,
income,所得,
aggregate,"集計, 総",複数の訳語が存在（一貫性の確認を推奨）
tank,TANK,
policy,政策,
households,家計,
inequality,不平等,
monetary,金融,
thank,THANK,
risk,リスク,
interest,"利子, 金利",複数の訳語が存在（一貫性の確認を推奨）
rank,RANK,
keynesian,ケインジアン,
rate,"利子率, 率, 金利",複数の訳語が存在（一貫性の確認を推奨）
euler,オイラー,
equilibrium,均衡,
effect,"影響, 効果",複数の訳語が存在（一貫性の確認を推奨）
fiscal,財政,
demand,需要,
shocks,ショック,
government,政府,
future,将来,
bank,銀行,
multiplier,乗数,
new,"ニュー, 新しい",複数の訳語が存在（一貫性の確認を推奨）
output,"産出量, 産出, 生産",複数の訳語が存在（一貫性の確認を推奨）
hank,HANK,
real,実質,
increase,"増加, 上昇",複数の訳語が存在（一貫性の確認を推奨）
hand-to-mouth,手元消費,
central,中央,
spending,支出,
optimal,"最適な, 最適",複数の訳語が存在（一貫性の確認を推奨）
amplification,増幅,
supply,供給,
curve,曲線,
effects,"影響, 効果",複数の訳語が存在（一貫性の確認を推奨）
fall,"減少, 低下",複数の訳語が存在（一貫性の確認を推奨）
labour,労働,
rise,"増加, 上昇",複数の訳語が存在（一貫性の確認を推奨）
precautionary,予備的,
cross,クロス,
cyclical,循環的,
state,状態,
distribution,"分布, 分配",複数の訳語が存在（一貫性の確認を推奨）
means,意味する,
changes,"変化, 変更",複数の訳語が存在（一貫性の確認を推奨）
countercyclical,反循環的,
puzzle,パズル,
intertemporal,異時点間,
shock,ショック,
response,反応,
profits,利潤,
agents,エージェント,
therefore,したがって,
rises,"上昇する, 増加する",複数の訳語が存在（一貫性の確認を推奨）
motive,動機,
taylor,テイラー,
inflation,"インフレ, インフレーション",複数の訳語が存在（一貫性の確認を推奨）
forward,フォワード,
determinacy,決定性,
prices,"価格, 物価",複数の訳語が存在（一貫性の確認を推奨）
rates,"利子率, 率",複数の訳語が存在（一貫性の確認を推奨）
representation,表現,
change,"変化, 変更",複数の訳語が存在（一貫性の確認を推奨）
guidance,ガイダンス,
household,家計,
saving,貯蓄,
role,役割,
equal,等しい,
share,"シェア, 割合",複数の訳語が存在（一貫性の確認を推奨）
relative,相対的,
multipliers,乗数,
asset,資産,
channel,チャネル,
heterogeneous agent,異質的エージェント,
heterogeneous,異質的,
agent,エージェント,
new keynesian model,ニューケインジアン・モデル,
representative,代表的,
saver,貯蓄者,
savers,貯蓄者,
mpc,MPC,
impc,iMPC,
idiosyncratic risk,固有リスク,
business cycle,景気循環,
euler equation,オイラー方程式,
discount factor,割引因子,
investment,投資,
divine coincidence,神の再一致,
deflation,デフレ,
nominal interest rate,名目利子率,
real interest rate,実質利子率,
wage,賃金,
real wage,実質賃金,
profit,利潤,
taxes,税,
transfers,移転,
government bonds,政府債券,
bonds,債券,
liquidity,流動性,
indeterminacy,非決定性,
master equation,マスター方程式,
tractable,"トラクタブル, 扱いやすい",複数の訳語が存在（一貫性の確認を推奨）
procyclical,順循環的,
acyclical,非循環的,
dampening,減衰,
sticky prices,粘着価格,
sticky wages,粘着賃金,
phillips curve,フィリップス曲線,
welfare,厚生,
loss function,損失関数,
first-best,ファーストベスト,
ramsey,ラムゼイ,
insurance,保険,
self-insurance,自己保険,
cost-push shock,コストプッシュ・ショック,
capital,資本,
wage rigidity,賃金硬直性,
heterogeneity,異質性,
persistence,持続性,
volatility,ボラティリティ,
approximation,近似,
redistribution,再分配,
progressive taxation,累進課税,
quantitative,定量的,
estimation,推定,
model,モデル,
equation,"方程式, 式",複数の訳語が存在（一貫性の確認を推奨）
parameter,パラメータ,
function,関数,
variable,変数,
data,データ,
result,結果,
analysis,"解析, 分析",複数の訳語が存在（一貫性の確認を推奨）
assumption,仮定,
framework,枠組み,
approach,アプローチ,
problem,問題,
solution,"解決策, 解",複数の訳語が存在（一貫性の確認を推奨）
value,値,
level,水準,
dynamics,動学,
mechanism,メカニズム,
literature,文献,
evidence,証拠,
table,表,
section,セクション,
chapter,章,
period,期,
price,"価格, 物価",複数の訳語が存在（一貫性の確認を推奨）
cost,"コスト, 費用",複数の訳語が存在（一貫性の確認を推奨）
consumer,消費者,
market,市場,
tax,税,
