English Term,Japanese Translations Used,Notes
Heterogeneous Agent,異質的エージェント,
New Keynesian,ニューケインジアン,
HANK,HANK,
TANK,TANK,
RANK,RANK,
THANK,THANK,
hand-to-mouth,手元消費,
saver,貯蓄者,
MPC,MPC,
iMPC,iMPC,
precautionary savings,予備的貯蓄,
idiosyncratic risk,固有リスク,
business cycle,景気循環,
steady state,定常状態,
Euler equation,オイラー方程式,
budget constraint,予算制約,
discount factor,割引因子,
consumption,消費,
investment,投資,
output,"産出, 生産",Inconsistent translation across or within chapters
income,所得,
inequality,不平等,
cyclical inequality,循環的不平等,
monetary policy,金融政策,
fiscal policy,財政政策,
Taylor rule,テイラー・ルール,
forward guidance,フォワード・ガイダンス,
forward guidance puzzle,フォワード・ガイダンス・パズル,
Catch-22,キャッチ22,
divine coincidence,神の再一致,
inflation,"インフレーション, インフレ",Inconsistent translation across or within chapters
deflation,デフレ,
interest rate,"金利, 利子率",Inconsistent translation across or within chapters
nominal interest rate,名目利子率,
real interest rate,実質利子率,
wage,賃金,
real wage,実質賃金,
profit,利潤,
taxes,税,
transfers,移転,
government debt,公的債務,
government bonds,政府債券,
bonds,債券,
liquidity,流動性,
central bank,中央銀行,
determinacy,決定性,
indeterminacy,非決定性,
master equation,マスター方程式,
tractable,"扱いやすい, トラクタブル",Inconsistent translation across or within chapters
countercyclical,反循環的,
procyclical,順循環的,
acyclical,非循環的,
amplification,増幅,
dampening,減衰,
multiplier,乗数,
fiscal multiplier,財政乗数,
sticky prices,粘着価格,
sticky wages,粘着賃金,
Phillips curve,フィリップス曲線,
welfare,厚生,
loss function,損失関数,
first-best,"最適, ファーストベスト",Inconsistent translation across or within chapters
optimal policy,最適政策,
Ramsey,ラムゼイ,
insurance,保険,
self-insurance,自己保険,
aggregate demand,"集計需要, 総需要",Inconsistent translation across or within chapters
cost-push shock,コストプッシュ・ショック,
capital,資本,
wage rigidity,賃金硬直性,
heterogeneity,異質性,
distribution,分布,
persistence,持続性,
volatility,ボラティリティ,
approximation,近似,
redistribution,再分配,
progressive taxation,累進課税,
quantitative,定量的,
estimation,推定,
